country,permitted_members_male,permitted_members_female,permitted_members_total,success_summiter_male,success_summiter__female,success_summiter__total
Albania,0,1,1,0,0,0
Andorra,2,1,3,2,1,3
Argentina,11,0,11,6,0,6
Australia,44,16,60,14,4,18
Austria,22,6,28,13,3,16
Azerbaijan,3,0,3,3,0,3
Bahrain,1,0,1,0,0,0
Bangladesh,2,0,2,1,0,1
Belgium,11,1,12,6,0,6
Brazil,14,2,16,7,1,8
Bulgaria,7,1,8,7,0,7
Canada,36,12,48,20,5,25
Chile,11,1,12,7,0,7
China,107,55,162,82,42,124
Colombia,1,0,1,0,0,0
Croatia,1,0,1,0,0,0
Cyprus,1,0,1,0,0,0
Czech Republic,13,3,16,4,1,5
Denmark,6,0,6,1,0,1
Dominican Republic,1,0,1,0,0,0
Ecuador,3,0,3,3,0,3
Egypt,1,0,1,1,0,1
Estonia,1,1,2,1,1,2
Finland,3,0,3,2,0,2
France,150,46,196,48,13,61
Georgia,9,0,9,9,0,9
Germany,99,28,127,35,7,42
Greece,6,4,10,2,4,6
Hong Kong,7,1,8,7,1,8
Hungary,3,3,6,0,0,0
Iceland,8,1,9,6,1,7
India,116,23,139,85,15,100
Ireland,12,4,16,8,2,10
Islamic Republic of Iran,7,2,9,6,2,8
Israel,4,2,6,0,1,1
Italy,72,19,91,22,2,24
Japan,48,19,67,23,13,36
Kazakhstan,1,0,1,1,0,1
"Korea, Republic of",21,0,21,5,0,5
Kuwait,4,0,4,1,0,1
Kyrgyz Republic,2,0,2,1,0,1
Lebanon,6,3,9,4,3,7
Lithuania,5,0,5,5,0,5
Macao,1,0,1,0,0,0
Malaysia,1,1,2,1,0,1
Mexico,7,5,12,2,3,5
"Moldova, Republic of",1,0,1,1,0,1
Nepal,43,12,55,18,12,30
Netherlands,20,10,30,8,6,14
New Zealand,13,7,20,5,2,7
Norway,14,10,24,12,8,20
Oman,0,1,1,0,1,1
Pakistan,10,0,10,6,0,6
Peru,3,1,4,0,1,1
Philippines,2,1,3,0,0,0
Poland,63,25,88,15,9,24
Portugal,5,2,7,1,0,1
Qatar,2,0,2,2,0,2
Repb. Of Botswana,0,1,1,0,0,0
Republic of Kosovo,1,1,2,1,1,2
Romania,12,4,16,5,3,8
Russian Federation,37,13,50,21,10,31
Saudi Arabia,1,1,2,1,1,2
Serbia,2,0,2,0,0,0
Singapore,5,1,6,5,0,5
Slovakia,6,0,6,1,0,1
Slovenia,10,3,13,1,0,1
South Africa,1,2,3,0,1,1
Spain,74,10,84,20,0,20
Swaziland,5,3,8,2,1,3
Sweden,12,3,15,4,1,5
Switzerland,35,22,57,20,9,29
Syrian Arab Republic,1,0,1,1,0,1
"Taiwan, Province of China",1,2,3,1,2,3
Thailand,6,3,9,1,1,2
Turkey,3,0,3,1,0,1
U.S.of America,234,43,277,94,13,107
Ukraine,18,2,20,7,0,7
United Kingdom,143,29,172,56,13,69
United Arab Emirates,16,1,17,3,0,3
Uruguay,1,0,1,1,0,1
Viet Nam,1,0,1,0,0,0
