name_&_height_(meter)_of_mountain,no_of_member,royalty_USD,royalty_nrs
Mt. Chamlang (7321m.),12,6000,660970
Mt. Nuptse (7855m.),27,16200,1787670
Mt. Everest (8848m.),397,4058000,449436962.5
Mt. Lhotse (8516m.),13,11700,1336230
Mt. Saribung (6346m.),112,19060,2132629
Mt. Amadablam (6814m.),402,159200,18024800
Mt. Amolsang (6393m.),1,125,14156.25
Mt. Amphu 1 (6740m.),3,600,67680
Mt. Annapurna 3 (7555m.),3,900,101655
Mt. Annapurna I (8091m.),23,41400,4548510
Mt. Annapurna IV (7525m.),47,7700,4565802
Mt. Api (7132m.),4,1000,114450
Mt. Araniko Chuli(6039m.),23,3935,435840.25
Mt. Ardang (6034m.),4,500,56775
Mt. Baden Powell Scout Peak (Urkema Peak) 5890m.,2,0,4000
Mt. Baruntse (7129m.),33,9750,1101487.5
Mt. Bhrikuti (6476m.),21,2090,235707.5
Mt. Chamlang (7319m.),7,1750,197587.5
Mt. Chandi Himal (6096m.),3,375,42525
Mt. Chhopabamare (6109m.),2,500,57150
Mt. Chobuje (6685m.),2,800,88880
Mt. Chukyima Go (6258m.),2,250,28350
Mt. Danfe Shail (6103m.),3,375,42900
Mt. Dhawalagiri I (8167m.),36,33300,3827135
Mt. Gandharva Chuli (6248m.),1,125,14287.5
Mt. Gangapurna (7140),9,2250,254350
Mt. Gaugiri (6110m.),25,5000,563031.25
Mt. Gyalzen Peak(6151m.),6,0,24000
Mt. Himjung (7092m.),4,2000,219975
Mt. Himlung (7126m.),121,36750,4126984.5
Mt. Hongde (6456m.),6,1200,136440
Mt. Hongu (Sura Peak),1,200,22750
Mt. Hunku Chuli (6833m.),2,400,45240
Mt. Kanchanjunga (8586m.),34,57600,6353210
Mt. Kangbachen (7903m.),2,1200,132480
Mt. Khang Karpo (6646m.),2,400,45420
Mt. Khangchung ( 6063m.),2,250,28250
Mt. Khangtega (6783m.),2,400,45260
Mt. Kumbhakarna ( 7710m.),6,2700,309015
Mt. Lachama Chuli (6721m.),11,4400,490380
Mt. Langju Peak (6426m.),2,250,28237.5
Mt. Langtang Lirung (7234m.),2,1000,110700
Mt. Langtang Ri (7205m.),5,1250,142975
Mt. Lhotse (8516m.),98,174900,19359855
Mt. Linku Chuli (6659m.),5,1000,113800
Mt. Lubula (6899m.),14,2800,316960
Mt. Makalu (8463m.),59,100000,11061940.32
Mt. Manaslu (8163m.),270,237800,27315400
Mt. Mansail (6242m.),17,1550,172470
Mt. Mukot Himal (6087m.),30,5250,587131
Mt. Mustang Himal (6195m.),15,2130,235942.5
Mt. Nemjung (7139m.),11,2750,312512.5
Mt. Norbu Kang (6005m.),7,875,99750
Mt. Nuptse (7855m.),18,8400,940920
Mt. Panpoche 1 ( 6620m. ),8,1600,184460
Mt. Panpoche II (6504m. ),3,600,69210
Mt. Pasang Lhamu (7351m.),4,2000,219700
Mt. Pokhar khang (6348m.),13,1625,185331.25
Mt. Pumori (7161m),11,5500,604175
Mt. Putha Hiunchuli (7246m.),36,10250,1551750
Mt. Ratna Chulim (7128m.),5,2500,277875
"Mt. Sherson (Peak 3, 6422m.)",2,250,28250
Mt. Shey Shikhar (6139m.),8,560,61684
Mt. Tengi Ragi Tau (6943m.),8,1600,181790
Mt. Tengkangpoche (6482m.),7,875,99468.75
Mt. Tengkoma (6215m.),4,500,56625
Mt. Thakar Go East (6152m.),4,500,56650
Mt. Thapa Peak (6012m.),89,11750,1328650
Mt. Thorang Peak (6144m.),40,6250,702706.25
Mt. Tilicho Peak (7134m.),4,1000,113400
Mt. Tobsar Peak (6100m.),2,250,28337.5
