Country,Cholaltse,Kyazo Ri,Nirekha,Langsisa Ri,ombigaichen,Bokta,Lobuje West,Larkya,aBI,Singuchuli,Mera,Kusum Kanguru,Kwangde,Chulu West,Imja tse (Is- land),Pharchamo,Lobuje,Ramdung,Pisang,Ganjala Chuli ),Paldor,Hiunchuli,Chulu East,total
Argentina,-,-,-,-,-,-,2,-,-,-,3,-,-,-,11,-,2,-,-,-,-,-,-,18
Armenia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,3
Austria,-,-,-,-,-,4,-,19,-,-,61,-,-,-,86,22,14,-,-,6,-,-,3,215
Australia,3,2,1,-,-,-,2,1,11,-,84,-,-,2,124,3,65,2,1,-,-,-,3,304
Azerbaizan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1
Bangladesh,-,-,-,-,-,-,-,-,-,-,5,-,-,-,0,4,-,-,-,-,-,-,-,9
Belarus,-,-,-,-,-,-,-,-,-,-,7,-,-,-,3,-,4,-,-,-,-,-,-,14
Belgium,1,-,-,-,-,-,-,2,-,-,24,-,-,-,19,-,4,-,-,-,-,-,4,54
Belize,-,-,-,-,-,-,-,-,-,-,1,-,-,-,0,-,-,-,-,-,-,-,-,1
Belarus,-,-,-,-,-,-,-,-,-,-,7,-,-,-,3,-,4,-,-,-,-,-,-,14
Brazil,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,-,15,-,-,-,-,-,-,22
Brunei,2,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,4
Bulgeria,-,-,-,-,-,-,-,-,-,-,2,-,-,-,4,-,-,-,-,-,-,-,1,7
Canada,2,1,5,-,-,-,-,-,-,-,26,-,-,2,50,-,26,-,-,-,-,-,1,113
Chile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,2
China,-,1,-,-,-,-,-,-,-,-,21,0,0,2,126,-,57,-,-,-,-,-,-,207
Colombia,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,6,-,-,-,-,-,-,7
Croatia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,11
Czech Republic,-,-,-,-,-,-,1,-,-,-,70,-,-,4,36,9,27,-,-,-,-,-,-,147
Denmark,2,2,-,-,-,-,1,-,-,1,26,-,-,-,44,-,2,-,-,-,-,-,-,78
Dominica Republic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,1,-,-,-,-,-,-,1
Ecuador,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
Egypt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,2
Estonia,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,6,5,-,-,-,-,-,-,13
finland,2,-,-,-,-,-,-,-,-,-,7,-,-,1,4,-,13,-,-,-,-,-,-,27
France,2,7,,2,,,19,4,-,-,164,-,-,9,137,15,68,1,2,,,2,36,468
Gabon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
Georgia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,2
Germany,-,1,8,-,-,-,1,9,-,1,191,1,2,7,209,13,67,-,-,3,-,-,7,520
Greece,-,-,-,-,-,-,2,-,-,-,1,-,-,1,21,-,2,-,-,-,-,-,-,27
Hongkong,-,-,-,-,-,-,-,-,-,-,5,-,-,-,7,-,4,-,-,-,-,-,-,16
Hungary,-,-,-,-,-,-,-,-,-,-,2,-,-,-,20,-,6,-,-,-,-,-,-,28
Iceland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,-,1,-,-,-,-,-,-,22
India,-,-,2,-,-,-,3,-,-,-,36,-,-,3,70,-,63,-,1,-,-,-,1,179
Indonesia,-,-,-,-,-,-,-,-,-,-,2,-,-,-,19,-,2,-,-,-,-,-,-,23
Iran,-,-,-,-,-,-,-,-,-,-,16,-,-,-,27,-,0,-,-,-,-,-,-,43
Ireland,1,1,-,-,-,-,-,-,-,-,14,-,-,-,57,1,8,-,-,-,-,-,-,82
Israel,-,-,-,-,-,-,-,4,-,-,12,-,-,-,29,-,3,-,-,-,-,-,-,48
Italy,2,2,-,-,-,-,-,-,-,-,49,-,-,10,26,11,24,-,1,9,-,-,5,139
Japan,-,2,-,-,-,-,3,3,-,,25,-,-,3,39,7,19,-,3,,-,-,12,116
Jordan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,2
Kazakhstan,-,4,-,-,-,-,-,-,-,-,14,-,-,-,-,-,1,-,-,-,-,-,-,19
Kenya,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,6
