peak,group,pax,royalty_USD
Chola tse,13,42,"5,768.00"
Kyazo Ri,17,56,"9,143.00"
Pharilapcha,-,-,-
Nirekha,8,22,"4,195.00"
Langsisa Ri,3,11,"1,625.00"
Ombigaichen,1,1,250
Bokta,1,4,"1,000.00"
Chekigo,-,-,-
Lobuje West,22,94,"16,071.00"
Laarkya,15,54,"8,125.00"
ABI,1,12,"1,500.00"
Yubra Himal,-,-,-
Singu Chuli,2,2,400
Hiunchuli,1,2,500
Mera,427,1728,"285,055.00"
Kusum Kanguru,1,2,250
Kwangde,1,2,250
Chulu West,35,73,"12,398.00"
Chulu East,47,118,"25,789.00"
Imja Tse (Island),713,2639,"455,977.00"
Phaarchamo,36,130,"17,588.00"
Lobuje,264,966,"186,180.00"
Ramdung,3,7,786
Pisang,13,22,"3,475.00"
Ganjala Chuli (Naya Khang),8,49,"5,410.00"
Khongma Tse (Mehara),-,-,-
Paldor,1,1,250
