airlines,flgith_movement_dep,flgith_movement_arr,flgith_movement_total,passenger_movement_out,passenger_movement_in,passenger_movement_total
ABY,918,918,1836,115043,113886,228929
AIC,930,930,1860,126822,128236,255058
BBC,351,351,702,39983,27950,67933
BHA,178,179,357,7661,6542,14203
BTN,230,230,460,7636,206,7842
CCA,488,488,976,43713,42742,86455
CES,558,558,1116,51663,51485,103148
CSC,207,207,414,17480,13913,31393
CSN,730,730,1460,105109,94894,200003
DRK,490,490,980,25087,8813,33900
ETD,422,422,844,53241,49871,103112
FDB,955,955,1910,144277,130411,274688
H DA,235,235,470,66483,36640,103123
HIM,897,898,1795,118976,57416,176392
IGO,739,739,1478,109175,51442,160617
JAI,380,379,759,53273,49144,102417
KAL,179,179,358,35078,35870,70948
MAS,380,380,760,50114,45178,95292
MXD,682,682,1364,75814,103197,179011
OMA,622,622,1244,79268,67201,146469
QTR,1366,1366,2732,236410,225629,462039
NAC,2196,2194,4390,379607,356228,735835
SLK,352,352,704,47473,41178,88651
THA,365,365,730,91818,78005,169823
THY,285,285,570,66930,14395,81325
OTHERS,177,178,355,5111,161,5272
