airline,flight_movement_dep,flight_movement_arr,flight_movement_total,pax_out,pax_in,pax_total
AA,734,735,1469,2172,2699,4871
AD,1419,1419,2838,3376,3284,6660
BHA,16454,16454,32908,823790,767612,1591402
FA,63,63,126,200,239,439
HE,702,702,1404,1787,2376,4163
KH,885,884,1769,2156,2379,4535
MA,612,610,1222,1827,2111,3938
MH,217,270,541,810,812,1622
MU,396,394,790,819,1074,1893
NAC,1716,1716,3432,41035,33201,74236
NSB,702,702,1404,0,0,0
NYT,9949,9949,19898,434908,399034,833942
RMK,1027,1027,2054,15656,12490,28146
S1,858,858,1716,39808,38579,78387
SH,378,379,757,1042,1127,2169
SHA,4379,4379,8758,242088,232981,475069
SM,1413,1413,2826,3762,4122,7884
STA,690,690,1380,7414,7067,14481
TRA,1592,1593,3185,17475,15697,33172
VVIP,68,68,136,0,0,0
OTHERS,21,23,44,16,11,27
