district,type,2017_no_of_affiliated_house,2017_no_of_room,2017_no_of_bed,2018_no_of_affiliated_house,2018_no_of_room,2018_no_of_bed,2019_no_of_affiliated_house,2019_no_of_room,2019_no_of_bed
Kathmandu,Community,63,99,214,63,99,176,84,110,188
Kathmandu,Private,49,150,206,49,146,238,49,150,206
Kathmandu,Total,112,249,420,112,245,414,133,260,394
Bhaktapur,Community,,,,13,14,28,13,14,28
Bhaktapur,Private,,,,4,11,20,4,11,20
Bhaktapur,Total,,,,17,25,48,17,25,48
Kavre,Community,49,83,107,61,95,119,61,95,119
Kavre,Private,5,16,30,5,9,14,5,9,14
Kavre,Total,54,99,137,66,104,133,66,104,133
Lalitpur,Community,12,24,47,15,28,51,15,28,51
Lalitpur,Private,6,15,30,6,15,30,6,15,30
Lalitpur,Total,18,39,77,21,43,81,21,43,81
Mugu,Community,5,5,10,5,5,10,5,5,10
Mugu,Private,0,0,0,0,0,0,0,0,0
Mugu,Total,5,5,10,5,5,10,5,5,10
Nuwakot,Community,25,33,66,25,33,66,40,48,96
Nuwakot,Private,0,0,0,0,0,0,0,0,0
Nuwakot,Total,25,33,66,25,33,66,40,48,96
Ramechhap,Community,29,54,96,29,54,96,29,54,96
Ramechhap,Private,2,11,20,1,3,6,1,3,6
Ramechhap,Total,31,65,116,30,57,102,30,57,102
Chitwan,Community,7,14,28,0,0,0,29,36,72
Chitwan,Private,2,4,6,9,18,34,9,18,34
Chitwan,Total,9,18,34,9,18,34,38,54,106
Kaski,Community,,,,0,0,0,0,0,0
Kaski,Private,,,,2,8,16,2,8,16
Kaski,Total,,,,2,8,16,2,8,16
Makwanpur,Community,7,16,30,7,16,30,7,16,30
Makwanpur,Private,0,0,0,1,3,6,1,3,6
Makwanpur,Total,7,16,30,8,19,36,8,19,36
Dhading,Community,5,9,18,9,15,18,9,15,18
Dhading,Private,1,4,6,1,4,6,1,4,6
Dhading,Total,6,13,24,10,19,24,10,19,24
Udaypur,Community,,,,,,,13,13,18
Udaypur,Private,,,,,,,0,0,0
Udaypur,Total,,,,,,,13,13,18
Saptari,Community,,,,,,,7,7,12
Saptari,Private,,,,,,,0,0,0
Saptari,Total,,,,,,,7,7,12
Rasuwa,Community,,,,,,,,,
Rasuwa,Private,,,,1,4,8,1,4,8
Rasuwa,Total,,,,1,4,8,1,4,8
Pyuthan,Community,16,17,34,18,17,34,18,17,34
Pyuthan,Private,0,0,0,0,0,0,0,0,0
Pyuthan,Total,16,17,34,18,17,34,18,17,34
Total,Community,218,354,650,245,376,628,310,438,742
Total,Private,65,200,298,79,221,378,79,225,346
