country,arrival_M,arrival_F,arrival_UV,arrival_total,departure_M,departure_F,departure_UV,departure_total
Afghanistan,56,13,0,69,70,19,0,89
Albania,6,4,0,10,8,3,0,11
Algeria,13,13,0,26,18,15,0,33
Angola,2,0,0,2,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0
Argentina,266,460,1,727,230,410,1,641
Armenia,27,14,0,41,20,10,0,30
Australia,3568,3214,11,6793,4283,3986,66,8335
Austria,360,358,1,719,386,421,3,810
Azerbaijan,12,9,0,21,12,8,0,20
Bahamas,2,1,0,3,2,1,0,3
Bahrain,58,13,0,71,69,18,0,87
Bangladesh,3977,935,5,4917,4348,1121,23,5492
Belarus,34,51,0,85,40,52,0,92
Belgium,671,559,4,1234,673,546,9,1228
Belize,2,1,0,3,2,1,0,3
Bhutan,1058,1078,3,2139,1317,1404,5,2726
Bolivia,10,10,0,20,9,8,0,17
Bosnia and Herzegovina,7,9,0,16,7,11,0,18
Brazil,393,450,1,844,391,432,5,828
British Nationals,28,32,0,60,27,32,0,59
British Overseas citizen,2,1,0,3,3,3,0,6
Brunei Darussalam,8,0,0,8,9,1,0,10
Bulgaria,40,51,0,91,39,50,2,91
Burkina Faso,10,0,0,10,9,0,0,9
Burundi,1,2,0,3,1,1,0,2
Cambodia,778,871,1,1650,934,1068,1,2003
Cameroon,32,2,0,34,51,1,0,52
Canada,1625,1470,7,3102,1643,1500,22,3165
Chad,1,0,0,1,1,0,0,1
Chile,118,136,2,256,110,134,1,245
"China, People's Republic",9808,9426,23,19257,14774,12732,241,27747
Colombia,147,126,1,274,104,98,2,204
Comoros,3,1,0,4,6,0,0,6
Congo,6,2,0,8,9,2,0,11
Costa RiCa,38,40,0,78,37,40,0,77
Cote d’Ivoire,72,1,0,73,58,2,2,62
Croatia,38,39,0,77,45,49,0,94
Cuba,5,0,0,5,5,0,0,5
Cyprus,32,12,0,44,30,11,0,41
Czech Republic,188,144,0,332,171,141,1,313
Denmark,456,517,3,976,445,513,8,966
Dominica,2,2,0,4,2,2,0,4
Dominican Republic,3,5,0,8,3,5,0,8
Ecuador,18,14,2,34,21,11,0,32
Egypt,161,62,0,223,175,84,2,261
El Salvador,12,5,0,17,11,6,0,17
Eritrea,3,1,0,4,4,1,0,5
Estonia,31,46,0,77,44,58,1,103
Ethiopia,13,21,1,35,20,25,0,45
Fiji,11,12,0,23,8,9,1,18
Finland,182,237,1,420,210,264,2,476
France,2318,2210,12,4540,2183,2044,40,4267
Gambia,3,1,0,4,5,1,0,6
Georgia,20,12,0,32,16,14,0,30
Germany,3063,2831,2,5896,2864,2650,7,5521
Ghana,15,5,0,20,13,7,0,20
Greece,103,84,0,187,122,109,0,231
Guatemala,11,10,0,21,10,5,0,15
Guinea,12,4,0,16,10,2,0,12
Honduras,4,3,0,7,5,6,0,11
Hong Kong,3,7,0,10,9,5,1,15
Hungary,153,183,1,337,150,165,1,316
Iceland,31,23,5,59,46,28,6,80
India,25320,10095,4921,40336,24015,9995,5937,39947
Indonesia,524,504,1,1029,537,553,1,1091
"Iran, Islamic Republic of",204,136,1,341,207,137,3,347
Iraq,9,0,0,9,10,0,0,10
Ireland,322,237,1,560,319,243,3,565
Israel,408,300,2,710,379,293,1,673
Italy,890,705,4,1599,1263,1131,10,2404
Jamaica,2,8,0,10,3,8,0,11
Japan,3093,2502,4,5599,3700,3134,10,6844
Jordan,190,58,0,248,190,64,1,255
Kazakhstan,32,47,0,79,34,47,0,81
Kenya,58,82,0,140,64,78,0,142
Korea DPR,1,0,0,1,5,1,0,6
"Korea,the Repub|ic of",3557,3383,4,6944,3882,3711,17,7610
Kosovo,1,1,0,2,4,1,0,5
Kuwait,62,21,0,83,61,43,0,104
