ports,foreigner_arrival,foreigner_departure,nepali_arrival,nepali_departure,grand_total_arrival,grand_total_departure
"Immigration office,Birgunj",388,255,19,9,407,264
"Immigration office,Kakarvitta",2021,1982,2535,1223,4556,3205
"Immigration office,Bhairahawa",43272,39888,71,99,43343,39987
"Immigration office,Gaddachauki",621,515,2,2,623,517
"Immigration office,Nepalgunj",94,76,4,0,98,76
"Immigration office,Dhangadhi",34,11,0,0,34,11
"Immigration office,Rasuwa",525,202,7,0,532,202
"Immigration office,Biratnagar",0,0,0,0,0,0
"Immigration office,Pashupatinagar",0,0,0,0,0,0
"Immigration office,Sindhupalchowk",0,0,0,0,0,0
"Immigration office,Humla",0,0,0,0,0,0
TIA,183130,202628,488810,386661,671940,589289
