year,third_country,indian,total
1993,210205,83362,293567
1994,223991,102540,326531
1995,246135,117260,363395
1996,271101,122512,393613
1997,288419,133438,421857
1998,320455,143229,463684
1999,350843,140661,491504
2000,367731,95915,463646
2001,296917,64320,361237
2002,208691,66777,275468
2003,251769,86363,338132
2004,294971,90326,385297
2005,278964,96434,375398
2006,290204,93722,383926
2007,430695,96010,526705
2008,409100,91177,500277
2009,416072,93884,509956
2010,481969,120898,602867
2011,586711,149504,736215
2012,637277,165815,803092
2013,616642,180974,797616
2014,654775,135343,790118
2015,464156,74814,538970
2016,"634,753","118,249","753,002"
2017,779386,160832,"940,218"
2018,978749,194323,"1,17,3072"
2019,943041,254150,"1,197,191"
2020,189749,40336,230085
