,,,,,,,,,
year,holiday_pleasure,trekking_and_mountaineering,business,pilgrimage,official,conv_conf,others,not_specified,total
1993,"170,279","69,619","19,495","10,429","15,812","5,367","2,566",-,"293,567"
1994,"168,155","76,865","23,522","5,475","20,431","5,361","26,722",-,"326,531"
1995,"183,207","84,787","21,829","5,257","20,090","5,272","42,953",-,"363,395"
1996,"209,377","88,945","25,079","4,802","20,191","6,054","39,165",-,"393,613"
1997,"249,360","91,525","27,409","4,068","24,106","5,824","19,565",-,"421,857"
1998,"261,347","112,644","24,954","16,164","22,123","5,181","21,271",-,"463,684"
1999,"290,862","107,960","23,813","19,198","24,132","5,965","19,574",-,"491,504"
2000,"255,889","118,780","29,454","15,801","20,832","5,599","17,291",-,"463,646"
2001,"187,022","100,828","18,528","13,816","18,727",0,"22,316",-,"361,237"
2002,"110,143","59,279","16,990","12,366","17,783",0,"58,907",-,"275,468"
2003,"97,904","65,721","19,387","21,395","21,967",0,"111,758",-,"338,132"
2004,"167,262","69,442","13,948","45,664","17,088",0,"71,893",-,"385,297"
2006,"145,802","66,931","21,066","59,298","18,063",0,"72,766",-,"383,926"
2007,"217,815","101,320","24,487","52,594","21,670","8,019","78,644","22,156","526,705"
2008,"148,180","104,822","23,039","45,091","43,044","6,938","99,634","29,529","500,277"
2009,"140,992","132,929","22,758","51,542","24,518","9,985","87,134","40,098","509,956"
2010,"263,938","70,218","21,377","101,335","26,374","9,627","52,347","57,651","602,867"
2011,"425,721","86,260","17,859","63,783","24,054","10,836","37,311","70,391","736,215"
2012,"379,627","105,015","24,785","109,854","30,460","13,646","48,540","91,165","803,092"
2013,"437,891","97,309","30,309","40,678","39,881","15,952","62,214","73,381","797,616"
2014,"395,849","97,185","24,494","98,765","32,395","13,432","53,728","74,271","790,118"
2015,"3,86,065","9,162","20,876","14,996","21,479","9,038",77354,,"538,970"
2016,"489,451","66,490","24,322","82,830","21,310","12,801","55,797",,"753,002"
2017,"658,153","75,217",na,"141,033",na,na,"65,815",,"940,218"
2018,"703,843","187,692",na,"169,180",na,na,"112,357",,"1,173,072"
2019,778173,197786,na,171937,na,na,49301,,"1,197,191"
2020,139202,28530,,35893,,,26460,,"230,085"
