month,MUSTANG,MANASALU,NAR PHU,TSUM VALLEY,KANCHANJANGHA,SIMIKOT,MUGU,DOLAKHA,LOWER DOLPA,UPPEER DOLPA,SANKHUWASABHA,Others
January,15,17,0,9,6,7,0,7,0,0,2,2
February,17,70,6,33,15,8,2,4,6,0,6,0
March,30,247,6,96,24,2,0,2,6,1,0,0
April,0,0,0,0,0,0,0,0,0,0,0,0
May,0,0,0,0,0,0,0,0,0,0,0,0
June,0,0,0,0,0,0,0,0,0,0,0,0
July,0,0,0,0,0,0,0,0,0,0,0,0
August,0,0,0,0,0,0,0,0,0,0,0,0
September,0,18,0,0,0,0,0,0,0,0,0,0
October,0,2,0,0,2,0,0,0,0,0,0,0
November,0,4,5,0,8,5,0,0,0,0,0,0
December,0,2,0,0,0,0,0,0,0,0,0,0
