conservation_area,Shrawan,Bhadra,Aswin,Kartik,Mansir,Paush,Magh,Fagun,Chaitra,Baisakh,Jesth,Asar
ShivapuriNagarjun National Park,512,760,1221,1741,1726,1047,741,736,208,0,0,0
Chitwan National Park,8630,735,2125,2856,13879,3683,1211,7488,1381,0,0,0
Sagarmatha National Park,375,1481,0,9064,1294,1758,816,989,15756,0,0,0
Bardiya National Park,115,148,796,1564,1008,0,267,744,176,0,0,0
Langtang National Park,233,1,2327,2356,939,582,0,791,86,0,0,0
Makalu Barun National Park,6,23,267,930,159,12,0,7,21,0,0,0
Rara National Park,36,18,47,90,23,5,2,22,13,0,0,0
Khaptad National Park,0,2,6,5,3,0,0,0,0,0,0,0
Banke National Park,0,0,0,0,0,2,1,5,0,0,0,0
SheyPhoksundo National Park,38,59,237,74,15,3,0,0,0,0,0,0
Shukla Phata Wild- life Reserve,0,0,12,36,58,28,21,14,3,0,0,0
Parsa Wildlife Reserve,1,0,0,6,0,0,0,0,7,0,0,0
KoshiTappu Wild- life Reserve,1,3,0,44,36,5,35,29,45,0,0,0
Dhorpatan Hunting Reserve,0,0,17,46,11,1,0,0,0,0,0,0
Apinappa Conser- sation Area,0,0,4,3,0,0,0,0,0,0,0,0
Krishnasar Conser- vation ARea,0,4,6,4,2,6,8,2,2,0,0,0
Kanchanjunga Con- servation Area,1,11,227,282,32,3,0,16,12,0,0,0
Annapurna Conservation Area,5622,6833,22058,25031,8814,7640,5131,9693,1169,0,0,0
Manaslu Conservation Area,15,452,2039,2230,284,38,42,265,23,0,0,0
Gaurishankar Conservation Area,75,63,428,568,164,50,37,118,20,0,0,0
