conservation_area,2071/72,2072/73,2073/74,2074/75,2075/76,2076/77
Chitwan National Park,178257,87391,139125,118621,142486,92994
Bardiya National Park,13548,10638,17959,6773,8260,5506
Langtang National Park,12265,5016,8254,10619,12132,8242
Sagarmatha National Park,34412,27794,45112,56303,57289,31533
Rara National Park,143,132,201,317,421,256
SheyPhoksundo National Park,383,431,535,469,578,426
Khaptad National Park,2,21,26,21,67,16
Makalu Barun National Park,1270,828,1537,1252,2057,1425
ShivapuriNagarjun National Park,NA,NA,NA,16813,12496,8692
Banke National Park,0,0,4,1,12,8
Shukla Phata Wildlife Reserve,NA,NA,NA,464,329,172
KoshiTappu Wildlife Reserve,NA,NA,NA,436,388,198
Parsa Wildlife Reserve,263,235,417,95,15,14
Dhorpatan Hunting Reserve,0,91,163,119,424,75
Krishnasar Conservation ARea,NA,NA,NA,43,37,34
ApinappaConsersation Area,3,29,19,36,38,7
Kanchanjunga Conservation Area,0,502,479,821,806,584
Annapurna Conservation Area,114418,83419,144409,172720,181746,103782
Manaslu Conservation Area,5658,2287,5745,7200,7655,5388
Gaurishanker Conservation Area,2818,1840,2770,2668,2528,1523
