(Meter) of Mountain,Team,Member,Peak,Team,Member
Mt. Amadablam (6814m.),8,39,Mt.Cholatse,1,2
Mt. Barun Tse (7129m.),1,6,Mt.Nirekha,3,11
Mt. Chukyima Go (6258m.),1,2,Mt.Bokta,1,2
Mt. Gyalzen Peak (6151m.),1,3,Mt.Lobuje West,2,9
Mt. Himlung Himal (7126 m.),2,7,Mera Peak,29,110
Mt. Jarkya Peak (6473),1,3,Chulu West,2,4
Mt. Kyungya Ri 2 (6506 m.),1,1,Chulu East,4,10
Mt. Luza Peak (5726 m),1,3,ImjaTse (Island Peak),54,112
Mt. Manaslu (8163 M.),2,18,Lobuje,34,92
Mt. Pabuk Khang (6244m.),1,3,Pisang Peak,2,4
Mt. Thorang Peak (5751m.),1,2,Ganja la Chuli (Nay- aKhanga),1,2
