mountain,Austria,Baharian,Canada,Checz  Repbulic,Egypt,France,India,Italy,Japan,Jordan,Nepal,Oman,Poland,Qatar,Romania,Spain,Swiss,Turkey,UAE,Ukraine,UK,USA
Mt. Amadablam (6814m.),1,0,2,2,1,3,5,0,0,0,3,1,2,1,0,3,1,1,0,1,7,5
Mt. Barun Tse (7129m.),,0,0,,0,,,,0,,6,0,,0,,0,0,0,,,0,0
Mt. Chukyima Go (6258m.),,0,0,,0,,,,0,,1,0,,0,,0,0,0,,,0,1
Mt. Himlung  Himal (7126 m.),,0,1,0,0,0,,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0
Mt. Jarkya Peak (6473),,0,0,,0,,,,3,,0,0,,0,,0,0,0,,,0,0
Kyungya Ri 2,,0,0,,0,,,,0,,0,0,,0,,0,1,0,,,0,0
Mt. Luza peak (5726 m.),,0,0,,0,,,,0,,3,0,,0,,0,0,0,,,0,0
Mt. Manaslu (8163 M.),,15,0,,0,,,,0,,0,0,,0,,0,0,0,,,3,0
Mt. Pabuk Khang (6244m.),,0,0,,0,,,,3,,0,0,,0,,0,0,0,,,0,0
Mt. Thorang Peak (5751m.),,0,0,,0,,,,0,,0,0,,0,,0,0,0,,,2,0
Mt.Gyalzen Peak(6151m.),,0,0,,0,,,,0,,3,0,,0,,0,0,0,,,0,0
Mt.Surma sarovar(6523 m.),,0,0,,0,,,,0,,0,0,,0,,0,0,0,,,0,2
