country,Jan.,Feb,Mar,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,VIPs & Monks
Afghanistan,1,,,,,,,,,,,,
Argentina,56,50,,,,,,,,,,,
Australia,103,88,,,,,,,,,,,
Austria,10,46,,,,,,,,,,,
Bangladesh,4,4,,,,,,,,,,,
Belgium,13,24,,,,,,,,,,,
Belize,2,2,,,,,,,,,,,
Bhutan,524,55,,,,,,,,,,,
Bolivia,,1,,,,,,,,,,,
Brazil,23,9,,,,,,,,,,,
Bulgeria,,1,,,,,,,,,,,
Cambodia,70,511,,,,,,,,,,,
Canada,38,51,,,,,,,,,,,
Chile,3,8,,,,,,,,,,,
China,2183,294,,,,,,,,,,,
Colombia,3,25,,,,,,,,,,,
Costarica,1,5,,,,,,,,,,,
Croatia,3,,,,,,,,,,,,
Denmark,8,19,,,,,,,,,,,
Egypt,3,2,,,,,,,,,,,
Finland,4,,,,,,,,,,,,
France,86,140,,,,,,,,,,,
Georgia,,306,,,,,,,,,,,
Germany,122,,,,,,,,,,,,
Greece,6,2,,,,,,,,,,,
Hong Kong,23,29,,,,,,,,,,,
Hungary,1,1,,,,,,,,,,,
Indonesia,78,162,,,,,,,,,,,
Iran,,1,,,,,,,,,,,
Israel,1,2,,,,,,,,,,,
Italy,65,73,,,,,,,,,,,
Japan,159,426,,,,,,,,,,,
Kazakistan,1,,,,,,,,,,,,
Kenya,,1,,,,,,,,,,,
Kuwait,2,,,,,,,,,,,,
Labnan,,19,,,,,,,,,,,
Laos,11,13,,,,,,,,,,,
Latvia,,1,,,,,,,,,,,
Lebanam,2,,,,,,,,,,,,
Lithuania,,2,,,,,,,,,,,
Malaysia,16,116,,,,,,,,,,,
Malta,1,1,,,,,,,,,,,
Mexico,9,44,,,,,,,,,,,
Mongolia,15,2,,,,,,,,,,,
Myanmar,3998,5945,,,,,,,,,,,
Netherlands,36,171,,,,,,,,,,,
Newzeland,5,,,,,,,,,,,,
Norway,13,34,,,,,,,,,,,
Pakistan,2,2,,,,,,,,,,,
Palau,,4,,,,,,,,,,,
Paraguay,1,1,,,,,,,,,,,
Peru,3,1,,,,,,,,,,,
Philipines,2,1,,,,,,,,,,,
Poland,5,40,,,,,,,,,,,
Portugal,3,1,,,,,,,,,,,
Romania,1,1,,,,,,,,,,,
Russia,20,41,,,,,,,,,,,
S. Africa,5,5,,,,,,,,,,,
S. Korea,1285,422,,,,,,,,,,,
S. Sudan,2,1,,,,,,,,,,,
Singapore,44,63,,,,,,,,,,,
Slovakia,2,3,,,,,,,,,,,
Solomon Island,25,,,,,,,,,,,,
Slovenia,,2,,,,,,,,,,,
Spain,37,42,,,,,,,,,,,
Sri Lanka,124,3937,,,,,,,,,,,
Sudan,5,5,,,,,,,,,,,
Swaziland,6,23,,,,,,,,,,,
Sweden,1,,,,,,,,,,,,
Switzerland,4,28,,,,,,,,,,,
Taiwan,164,491,,,,,,,,,,,
Thailand,3166,6389,,,,,,,,,,,
Turkey,2,3,,,,,,,,,,,
U.K.,86,126,,,,,,,,,,,
U.S.A.,165,213,,,,,,,,,,,
Ukrain,1,4,,,,,,,,,,,
Uruguay,1,,,,,,,,,,,,
Venezuala,,5,,,,,,,,,,,
Vietnam,244,1267,,,,,,,,,,,
