fiscal_year,total_earnings_net_receivedin_NRs.(million),total_earnings_net_received_annual_average_exchange_rate,USD_in_million,change_in_USD
2057/58 (2000/01),11717,73.8,158.7,-
2058/59 (2001/02),8654.3,76.9,112.6,-29.1
2059/60 (2002/03),11747.7,77.8,151,34.2
2060/61 (2003/04),18147.4,73.8,245.9,62.8
2061/62 (2004/05),10463.8,72.1,145.2,-41
2062/63 (2005/06),9555.8,72.3,132.1,-9
2063/64 (2006/07),10125.3,70.5,143.6,8.7
2064/65 (2007/08),18653.1,65,286.9,99.7
2065/66 (2008/09),27959.8,76.9,363.7,26.8
2066/67 (2009/10),28138.6,74.5,377.5,3.8
2067/68 (2010/11),24610.7,72.3,340.5,-9.8
2068/69 (2011/12),30703.8,81,379,11.3
2069/70 (2012/13),34210.6,88,389,2.6
2070/71 (2013/14),46374.9,98.3,472,21.4
2071/72 (2014/15),53428.6,99.5,537,13.8
2072/73 (2015/16),41765.3,106.4,392.7,-26.9
2073/74 (2016/17),58526.9,106.2,551,40.3
2075/76 (2017/18),68521.7,104.4,656.5,19.1
2075/76 (2018/19),75374.1,112.9,667.7,1.7
2076/77 (2019/20),60885,116.3,523.5,-21.6
2077/78 (2019/20)*,3870.5,118.1,32.8,-
