month,flight_movement_ARR,flight_movement_DEP,flight_movement_total,pax_movement_IN,pax_movement_OUT,pax_movement_total
2011,39635,39625,79260,796992,796992,1593984
2012,35444,35433,70877,786694,788365,1575059
2013,34544,34532,69076,769100,773504,1542604
2014,34270,34266,68536,728857,721701,1450558
2015,32944,32921,65865,683130,680918,1364048
2016,36938,36938,73876,880895,876701,1757596
2017,46563,46534,93097,1250102,1138481,2388583
2019,47788,47779,95567,1472082,1375704,2847786
2019,47307,47396,94640,1711753,1595247,3307000
2020,36639,36656,73698,843536,832758,1673028
