month,flight_movement_ARR,flight_movement_DEP,flight_movement_total,pax_movement_IN,pax_movement_OUT,pax_movement_total
JAN,3278,3275,6553,128812,137325,266137
FEB,3442,3443,6885,148734,136251,284985
MAR,2923,2918,5841,96875,102887,199762
APR,77,83,160,109,143,252
MAY,171,177,348,170,144,314
JUNE,285,282,567,250,875,1125
JULY,332,340,672,713,558,1271
AUG,361,362,723,497,565,1062
SEPT,600,595,1195,16068,16064,32132
OCT,2229,2235,4464,47587,78662,126249
NOV,2719,2724,5443,117694,112569,230263
DEC,2875,2872,5747,132910,129315,262225
Total,19292,19306,38598,690419,715358,1405777
