airport_name,ac_movement_In,ac_movement_out,ac_movement_total,pax_movement_in,pax_movement_out,pax_movement_total
Nepalgunj,4965,4988,9953,113009,110650,223659
Pokhara,5559,5560,11119,128497,127860,256357
Gautambuddha,1727,1728,3455,91332,90371,181703
Biratnagar,2596,2595,5191,151562,144497,296059
Chandragaddhi,1253,1253,2506,65937,65968,131905
Bharatpur,1343,1344,2687,40265,40122,80387
Janakpur,849,850,1699,50359,50111,100470
Tenjing-Hilari,2635,2635,5270,9540,11769,21309
Simara,1290,1290,2580,37035,35985,73020
Surkhet,2759,2766,5525,10661,7747,18408
Dhangaddhi,1440,1437,2877,74093,71219,145312
Jomsom,165,165,330,1886,1615,3501
Simikot,3912,3912,7824,7428,8573,16001
Tumlingtara,436,435,871,7814,7586,15400
Jumla,565,565,1130,5558,6080,11638
Dolpa,450,450,1449,3819,5325,9144
Bajura,617,617,1234,5463,7392,12794
Ramechap,343,343,686,4,88,92
Bhojpur,133,133,166,1599,1642,3241
Phaplu,1274,1267,2541,3656,5656,9320
Rara,786,785,1571,6973,7597,14576
Rukum Sally,93,93,186,1009,1068,2077
Rumjatar,33,33,66,141,161,301
Taplejung,144,142,286,1402,1146,2548
Khanidanda,21,21,42,259,206,465
Rukum Chaurjahari,15,15,30,103,102,205
Rajbiraj,151,151,279,6495,5413,11908
Safebagar,82,82,164,1190,1264,2454
Dang,166,166,332,1773,1924,3697
Lamidnada,10,10,20,42,53,95
Thamkharka,21,21,42,259,206,465
Bajhang,68,68,136,1033,1062,2095
Doti,17,17,34,235,263,498
Baitadi,13,13,26,157,199,356
