month,flight_movement_ARR,flight_movement_DEP,flight_movement_total,pax_movement_IN,pax_movement_OUT,pax_movement_total
AA,152,152,304,392,504,896
AD,275,277,552,627,600,1227
BHA,7655,7655,15310,396943,368765,765708
HE,200,200,400,507,649,1156
KH,479,479,958,850,1318,2168
MA,426,426,852,985,1108,2093
MH,51,51,102,78,73,151
MU,280,279,559,631,872,1503
NAC,749,748,1497,12853,10804,23657
NSB,492,487,979,0,0,0
NYT,4097,4097,8194,196362,184017,380379
RMK,169,169,338,2355,1976,4331
SAU,199,199,398,8106,8353,16459
SH,105,102,207,261,258,519
SHA,1921,1922,3843,117116,113530,230646
SM,532,533,1065,968,1112,2080
SMA,467,466,933,4783,4453,9236
SMA,112,113,225,298,372,670
STA,357,356,713,2750,2155,4905
TRA,536,536,1072,4797,4958,9755
VVI,55,54,109,0,0,0
