month,2015_Nepali,2015_Foreigner,2015_Total,2016_Nepali,2016_Foreigner,2016_Total,2017_Nepali,2017_Foreigner,2017_Total,2018_Nepali,2018_Foreigner,2018_Total,2019_Nepali,2019_Foreigner,2019_Total,2020_Nepali,2020_Foreigner
January,366,935,1301,530,870,1400,630,860,1490,700,905,1605,850,1507,2357,900,1700
Februar,465,822,1287,1040,1040,1370,432,1050,1482,521,1103,1624,575,2594,3169,625,2150
March,411,911,1322,1020,1020,1420,405,1020,1425,505,1139,1644,650,2780,3430,400,1500
April,468,913,1581,1040,1040,1360,310,1045,1355,352,1062,1414,501,1810,2311,–,–
May,224,90,314,1146,1146,1581,485,1155,1640,551,1307,1858,602,2191,2793,–,–
June,103,36,139,1350,1350,1555,205,1330,1535,291,1339,1630,305,1834,2139,–,–
July,135,38,173,980,980,1230,260,1020,1280,360,1107,1467,376,1755,2131,–,–
August,187,152,239,1360,1360,1720,380,1330,1710,489,1430,1919,525,1651,2176,–,–
September,236,210,446,1509,1509,1874,355,1517,1872,555,1531,2086,689,2103,2792,–,–
October,243,495,1238,1640,1640,2120,510,1647,2157,607,1632,2239,705,2970,3675,4500,–
November,307,534,841,1340,1340,1940,605,1380,1985,644,1489,2133,773,2245,3018,6300,–
December,162,556,718,1130,1130,1430,310,1030,1340,344,1054,1398,550,1981,2531,4200,–
