main_indicator,2016,2017,2018,2019,2020
Number of Nepalese Airlines oper- ating international flight,3,3,3,3,3
Number of International Airlines operating,26,30,29,30,27
Number of countries Bilateral agreement for Airlines service,38,38,39,40,40
Number of total airlines seats*,8000000,8000000,8000000,8000000,7800000
Number of Domestic airline Com- panies operation(both roter& fixed wings),19,19,19,19,20
Number of International Airport,1,1,1,1,1
Number of Fixed Wings Operation,10,10,10,9,9
Number of Helicopters operation,9,10,10,10,10
Number of Aviation Recreation companies,75,77,77,80,80
Number of Airport operation in all seasons ( Black toped),26,35,35,35,37
Number of Airport operation,33,30,31,32,35
