incident,Shrawan,Bhadra,Ashoj,Kartik,Mangsir,Paush,Magh,Falgun,Chaitra,Baisakh,Jestha,Ashad,Total
Lost/Missing,30,26,43,71,56,58,42,40,8,4,2,10,390
Stolen/theft,8,16,14,18,3,12,7,11,4,0,0,0,93
Fraud/Cheating,0,3,1,4,6,4,2,7,0,0,1,0,28
Robbery,0,1,0,2,0,1,2,0,1,0,0,0,7
Pickpocket,0,0,0,0,0,0,0,0,0,0,0,0,0
Harassment/ dispute,0,0,0,0,2,3,1,0,1,0,0,0,7
Accident,0,0,0,0,0,0,0,0,0,0,0,0,0
Damage,0,0,0,0,0,0,0,0,0,0,0,0,0
Attack/ Assault,1,1,0,0,0,0,0,1,0,0,0,0,3
Snatched,1,0,0,1,2,0,0,0,0,0,0,0,4
Threaten,0,0,0,0,0,0,0,0,0,0,0,0,0
Missing Person,0,0,3,0,1,0,2,0,0,0,1,0,7
Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
MISBEHAVIOUR,0,0,0,0,0,0,0,0,0,0,0,0,0
kidnap,0,0,0,0,0,0,0,0,0,0,0,0,0
Other,0,0,0,0,0,0,1,0,0,0,0,0,1
