economic_sector,global_estimates_impact_of_crisis_on_output,percent_global_estimates_share_of_global_employment,estimates_for_nepal_impact_of_crisis,estimates_for_nepal_contribution_to_output,percent_estimates_for_nepal_share_of_employment,percent_estimates_for_nepal_share_of_women
Accommodation and food services,High,4.3,High,2.1,5.2,6.3
"Real estate, business and administrative activities",High,4.7,Low,11.5,0.2,0.1
Manufacturing,High,13.9,Medium,5.6,15.1,13.4
Wholesale and retail trade; repairs of motor vehicles and motorcycle,High,14.5,Medium,14.5,17.5,20.6
"Arts, entertainment and recreation, and other services",Medium-high,5.4,High,NA,0.5,0.1
Transport; storage and communication,Medium-high,6.1,High,7.2,4.5,0.3
Construction,Medium,7.7,Medium,7.8,13.8,4.2
Financial and insurance activities,Medium,1.6,Low,6.3,1.7,2.1
Mining and quarrying,Medium,0.7,Low,0.6,0.8,0.6
Agriculture; forestry and fishing,Low-medium,26.5,Medium,27,21.5,33
Education,Low,5.3,Low,7.1,7.9,9.6
Human health and social work activities,Low,4.1,Low,1.8,2.4,3.5
Public administration and defence; compulsory social security,Low,4.3,Low,2.7,1.9,1.1
Utilities/Others,Low,0.8,Low,6,7,5.1
